retailer_id,shopper_rtlr_loyalty_id
740,10007442
740,10007461
740,10007494
740,10007647
740,10007671
740,10007714
740,100077673
740,100078
740,100079
740,1000790
740,100079377
740,100079501
740,100080029
740,100080673
740,100080700
740,100081272
740,1000816
740,1000817
740,1000819
740,100082
740,10008204
740,100082612
740,10008334
740,10008386
740,1000844
740,1000846
740,100084606
740,10008478
740,10008553
740,10008613
740,10008671
740,10008686
740,1000871
740,100087369
740,10008817
740,1000887
740,10008895
740,10008909
740,1000892
740,10008926
740,100089518
740,10008979
740,1000904
740,10009157
740,1000916
740,100092
740,100092666
740,1000931
740,1000932
740,1000933
740,1000937
740,100094
740,1000940
740,100094730
740,10009518
740,100095360
740,100095771
740,10009650
740,1000967
740,1000968
740,1000976
740,10009770
740,10009816
740,1000985
740,10009856
740,1000991
740,1001
740,10010
740,1001001
740,100100101
740,10010035
740,100100377
740,10010061
740,100101164
740,10010162
740,10010305
740,1001038
740,1001042
740,100104340
740,10010480
740,10010487
740,100104921
740,100105
740,100105465
740,10010559
740,100105638
740,10010588
740,10010593
740,10010623
740,1001089
740,10010896
740,1001090
740,100110440
740,1001108
740,1001112
740,100112
740,10011210
740,10011263
740,1001127
740,10011306
740,1001131
740,10011316
740,10011353
740,100113665
740,10011526
740,100116
740,10011702
740,100117239
740,10011767
740,1001179
740,10011884
740,100119
740,10011904
740,1001191
740,100119484
740,1001196
740,10012
740,10012012
740,10012116
740,1001219
740,1001224
740,100122429
740,1001225
740,100122569
740,10012298
740,10012388
740,1001240
740,10012459
740,10012496
740,10012548
740,100126161
740,100126729
740,100128
740,1001284
740,10012944
740,100130456
740,1001313
740,10013168
740,10013169
740,1001317
740,100132
740,100132207
740,10013262
740,1001329
740,1001331
740,10013310
740,100133189
740,1001333
740,100133910
740,100134301
740,100135
740,10013637
740,100137502
740,10013789
740,1001382
740,100138239
740,1001385
740,100138577
740,1001388
740,10013926
740,1001396
740,10013971
740,100139822
740,1001403
740,10014070
740,10014084
740,10014117
740,1001412
740,100141381
740,100141777
740,1001418
740,1001419
740,10014190
740,1001420
740,10014280
740,10014284
740,100143454
740,10014378
